log_fr,log_Mb,habitat,order,family,genus,species,breath_rate,body_mass,sex,activity_level,individual_name,common_name,age,temp,location
0.204,1.987,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,97,F,1,Anaeli,Bottlenose Dolphin,10,27.8,Water
0.301,1.987,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,97,F,2,Anaeli,Bottlenose Dolphin,10,28.1,Water
0.255,1.987,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,97,F,1,Anaeli,Bottlenose Dolphin,10,27.9,Water
0,2.134,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,136,F,1,Andromaca,Bottlenose Dolphin,14,28.39,Water
0.301,2.134,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,136,F,2,Andromaca,Bottlenose Dolphin,14,28.09,Water
0.204,2.134,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,136,F,2,Andromaca,Bottlenose Dolphin,14,28.52,Water
0.342,2.114,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,130,F,1,Angelica,Bottlenose Dolphin,12,28,Water
0.505,2.114,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.19889511,130,F,3,Angelica,Bottlenose Dolphin,12,30,Water
0.301,2.114,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,130,F,1,Angelica,Bottlenose Dolphin,12,31,Water
0.255,2.354,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,226,M,1,Apollo,Bottlenose Dolphin,19,19.6,Water
0.447,2.354,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,226,M,2,Apollo,Bottlenose Dolphin,19,20.3,Water
0.204,2.354,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,226,M,1,Apollo,Bottlenose Dolphin,19,20.6,Water
0.301,2.194,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,156.4,M,1,Archer,Bottlenose Dolphin,9,26.11111111,Water
0.255,2.194,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,156.4,M,1,Archer,Bottlenose Dolphin,9,26.61111111,Water
0.146,2.197,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,157.3,M,1,Archer,Bottlenose Dolphin,9,26.5,Water
0.505,2.197,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.19889511,157.3,M,1,Archer,Bottlenose Dolphin,9,25.66666667,Water
0.146,2.198,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,157.7,M,1,Archer,Bottlenose Dolphin,9,26.33333333,Water
0.415,2.262,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,183,F,1,Ariel,Bottlenose Dolphin,27,22,Water
0.204,2.262,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,183,F,1,Ariel,Bottlenose Dolphin,27,22,Water
0.204,2.262,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,183,F,1,Ariel,Bottlenose Dolphin,27,22,Water
0.255,2.261,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,182.5,F,2,Ariel,Bottlenose Dolphin,27,21,Water
0.301,2.261,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,182.5,F,2,Ariel,Bottlenose Dolphin,27,21,Water
0.301,2.261,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,182.5,F,3,Ariel,Bottlenose Dolphin,27,21,Water
0,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,182,F,1,Ariel,Bottlenose Dolphin,27,22.4,Water
0.255,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,182,F,2,Ariel,Bottlenose Dolphin,27,22.4,Water
0.146,2.266,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,184.5,F,1,Ariel,Bottlenose Dolphin,27,22.4,Water
0.146,2.267,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,185,F,1,Ariel,Bottlenose Dolphin,27,22,Water
0.204,2.267,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,185,F,1,Ariel,Bottlenose Dolphin,27,22,Water
0.255,2.267,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,185,F,1,Ariel,Bottlenose Dolphin,27,22,Water
0.079,2.225,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,168,M,2,Aries,Bottlenose Dolphin,21,31,Water
0.079,2.225,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,168,M,2,Aries,Bottlenose Dolphin,21,31,Water
0.204,2.225,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,168,M,2,Aries,Bottlenose Dolphin,21,31,Water
0.255,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,254,M,1,Arnie,Bottlenose Dolphin,23,17.2,Water
0.38,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,254,M,1,Arnie,Bottlenose Dolphin,23,16.8,Water
0.447,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,254,M,1,Arnie,Bottlenose Dolphin,23,18.5,Water
0.146,2.072,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,118,F,2,Arya,Bottlenose Dolphin,8,28.57,Water
0.255,2.072,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,118,F,2,Arya,Bottlenose Dolphin,8,28.63,Water
0.38,2.072,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,118,F,3,Arya,Bottlenose Dolphin,8,28.5,Water
