common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location
South african fur seal ,Timjan,F,70,21,5,1,Kolmarden,10,70,4.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.845,0.623,4.19758984,25.0,air
South african fur seal ,Timjan,F,70,16,5,1,Kolmarden,10,70,3.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.845,0.505,3.19889511,25.0,air
South african fur seal ,Timjan,F,72,2,1,2,Kolmarden,10,72,2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.857,0.301,1.99986187,7.0,water
Takin,Mahila,F,165,11,1,1,Kolmarden,5,165,11,Artiodactyla,Bovidae,Budorcas,taxicolor taxicolor ,terrestrial,2.217,1.041,10.99005839,5.0,air
Takin,Mahila,F,165,9,1,1,Kolmarden,5,165,9,Artiodactyla,Bovidae,Budorcas,taxicolor taxicolor ,terrestrial,2.217,0.954,8.994975815,15.0,air
Takin,Nanook,M,210,34,3.5,1,Kolmarden,6,210,9.7,Artiodactyla,Bovidae,Budorcas,taxicolor taxicolor ,terrestrial,2.322,0.987,9.705099672,4.0,air
Takin,Nanook,M,210,8,1,1,Kolmarden,6,210,8,Artiodactyla,Bovidae,Budorcas,taxicolor taxicolor ,terrestrial,2.322,0.903,7.99834255,15.0,air
Takin,Nanook,M,210,21,2.25,1,Kolmarden,6,210,9.3,Artiodactyla,Bovidae,Budorcas,taxicolor taxicolor ,terrestrial,2.322,0.97,9.332543008,15.0,air
Takin,Nanook,M,210,19,2,1,Kolmarden,6,210,9.5,Artiodactyla,Bovidae,Budorcas,taxicolor taxicolor ,terrestrial,2.322,0.978,9.506047937,15.0,air
Northern Fur Seal,Adak,M,96.5,16,5,2,MysticAquarium,8,96.5,3.2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.985,0.505,3.19889511,8.4,water
Northern Fur Seal,Adak,M,96.5,8,5,1,MysticAquarium,8,96.5,1.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.985,0.204,1.599558029,2.2,air
Northern Fur Seal,Adak,M,98,9,5,1,MysticAquarium,8,98,1.8,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.991,0.255,1.798870915,9.4,water
Northern Fur Seal,Adak,M,98,9,5,1,MysticAquarium,8,98,1.8,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.991,0.255,1.798870915,10.2,water
Northern Fur Seal,Adak,M,98,11,5,1,MysticAquarium,8,98,2.2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.991,0.342,2.197859873,11.0,water
Northern Fur Seal,Adak,M,98,15,5,1,MysticAquarium,8,98,3,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.991,0.477,2.999162519,10.9,water
Northern Fur Seal,Kivli,F,33.5,11,5,2,MysticAquarium,8,33.5,2.2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.525,0.342,2.197859873,8.4,water
