common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,sex,fr,order,family,genus,species,habitat,Where measured,log_Mb,log_fr,habitat,breath_rate,temp,location
Bottlenose dolphin,Alpha,F,166,13,5,2,ZooMarine,17,166,F,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.22,0.415,aquatic,2.600159563,18.5,water
Bottlenose dolphin,Alpha,F,166,12,5,2,ZooMarine,17,166,F,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.22,0.38,aquatic,2.398832919,18.9,water
Amur Tiger,Altai,M,140,63,4.0833,1,Kolmarden,2,140,M,15.4,Carnivora,Felidae,Panthera ,tigris altaica,terrestrial,air,2.146,1.188,terrestrial,15.41700453,,air
Bottlenose dolphin,AMADEUS,M,119,12,5,2,DolphinCo-Maroma,10,119,M,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.076,0.38,aquatic,2.398832919,27,water
Bottlenose dolphin,AMADEUS,M,119,13,5,2,DolphinCo-Maroma,10,119,M,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.076,0.415,aquatic,2.600159563,30,water
Bottlenose dolphin,AMADEUS,M,119,17,5,3,DolphinCo-Maroma,10,119,M,3.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.076,0.531,aquatic,3.396252726,31,water
False killer whale,Amma,F,667,9,9.5,1,Okinawa-Chumari,NA,667,F,0.9,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.824,-0.023,aquatic,0.948418463,21.8,water
False killer whale,Amma,F,667,27,16,3,Okinawa-Chumari,NA,667,F,1.7,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.824,0.227,aquatic,1.686553025,21.8,water
Bottlenose dolphin,Anaeli,F,97,8,5,1,DolphinCo-Cozumel,10,97,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,1.987,0.204,aquatic,1.599558029,27.8,water
Bottlenose dolphin,Anaeli,F,97,10,5,2,DolphinCo-Cozumel,10,97,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,1.987,0.301,aquatic,1.99986187,28.1,water
Bottlenose dolphin,Anaeli,F,97,9,5,1,DolphinCo-Cozumel,10,97,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,1.987,0.255,aquatic,1.798870915,27.9,water
California sea lion ,André,M,136,15,5,1,ZooMarine,27,136,M,3,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.134,0.477,semiaquatic,2.999162519,18.5,water
California sea lion ,André,M,136,23,5,2,ZooMarine,27,136,M,4.6,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.134,0.663,semiaquatic,4.602565736,18.6,water
California sea lion ,André,M,136,12,5,2,ZooMarine,27,136,M,2.4,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.134,0.38,semiaquatic,2.398832919,19.4,water
Bottlenose dolphin,Andromaca,F,136,5,5,1,DolphinCo-PuntaCana,14,136,F,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.134,0,aquatic,1,28.39,water
Bottlenose dolphin,Andromaca,F,136,10,5,2,DolphinCo-PuntaCana,14,136,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.134,0.301,aquatic,1.99986187,28.09,water
Bottlenose dolphin,Andromaca,F,136,8,5,2,DolphinCo-PuntaCana,14,136,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.134,0.204,aquatic,1.599558029,28.52,water
Bottlenose dolphin,ANGELICA,F,130,11,5,1,DolphinCo-Maroma,12,130,F,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.114,0.342,aquatic,2.197859873,28,water
Bottlenose dolphin,ANGELICA,F,130,16,5,3,DolphinCo-Maroma,12,130,F,3.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.114,0.505,aquatic,3.19889511,30,water
Bottlenose dolphin,ANGELICA,F,130,10,5,1,DolphinCo-Maroma,12,130,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.114,0.301,aquatic,1.99986187,31,water
California sea lion ,Anúbis,M,210,7,5,2,ZooMarine,20,210,M,1.4,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.322,0.146,semiaquatic,1.399587323,18.8,water
California sea lion ,Anúbis,M,210,20,5,2,ZooMarine,20,210,M,4,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.322,0.602,semiaquatic,3.999447498,21,water
California sea lion ,Anúbis,M,210,11,5,2,ZooMarine,20,210,M,2.2,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.322,0.342,semiaquatic,2.197859873,20.5,water
California sea lion ,Anúbis,M,213,11,5,2,ZooMarine,20,213,M,2.2,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.328,0.342,semiaquatic,2.197859873,20.1,water
California sea lion ,Anúbis,M,213,17,5,1,ZooMarine,20,213,M,3.4,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,air,2.328,0.531,semiaquatic,3.396252726,16,air
Bottlenose dolphin,Apollo,M,226,9,5,1,ZooMarine,19,226,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.354,0.255,aquatic,1.798870915,19.6,water
Bottlenose dolphin,Apollo,M,226,14,5,2,ZooMarine,19,226,M,2.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.354,0.447,aquatic,2.79898132,20.3,water
Bottlenose dolphin,Apollo,M,226,8,5,1,ZooMarine,19,226,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.354,0.204,aquatic,1.599558029,20.6,water
Grey seal,ARAT,M,210,13,5,2,DolphinCo-ZooMarine,30,210,M,2.6,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,2.322,0.415,semiaquatic,2.600159563,30.6,water
Grey seal,ARAT,M,210,18,5,2,DolphinCo-ZooMarine,30,210,M,3.6,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,2.322,0.556,semiaquatic,3.597493352,27.1,water
Grey seal,ARAT,M,210,14,5,3,DolphinCo-ZooMarine,30,210,M,2.8,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,2.322,0.447,semiaquatic,2.79898132,27.4,water
Bottlenose dolphin,Archer,M,156.4,10,5,1,MississipiAquarium,9,156.3636364,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.194,0.301,aquatic,1.99986187,26.11111111,water
Bottlenose dolphin,Archer,M,156.4,9,5,1,MississipiAquarium,9,156.3636364,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.194,0.255,aquatic,1.798870915,26.61111111,water
Bottlenose dolphin,Archer,M,157.3,7,5,1,MississipiAquarium,9,157.2727273,M,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.197,0.146,aquatic,1.399587323,26.5,water
Bottlenose dolphin,Archer,M,157.3,16,5,1,MississipiAquarium,9,157.2727273,M,3.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.197,0.505,aquatic,3.19889511,25.66666667,water
Bottlenose dolphin,Archer,M,157.7,7,5,1,MississipiAquarium,9,157.7272727,M,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.198,0.146,aquatic,1.399587323,26.33333333,water
Bottlenose dolphin,Ariel,F,183,13,5,1,Kolmarden,27,183,F,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.262,0.415,aquatic,2.600159563,22,water
Bottlenose dolphin,Ariel,F,183,8,5,1,Kolmarden,27,183,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.262,0.204,aquatic,1.599558029,22,water
Bottlenose dolphin,Ariel,F,183,8,5,1,Kolmarden,27,183,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.262,0.204,aquatic,1.599558029,22,water
Bottlenose dolphin,Ariel,F,182.5,9,5,2,Kolmarden,27,182.5,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.261,0.255,aquatic,1.798870915,21,water
Bottlenose dolphin,Ariel,F,182.5,10,5,2,Kolmarden,27,182.5,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.261,0.301,aquatic,1.99986187,21,water
Bottlenose dolphin,Ariel,F,182.5,10,5,3,Kolmarden,27,182.5,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.261,0.301,aquatic,1.99986187,21,water
Bottlenose dolphin,Ariel,F,182,5,5,1,Kolmarden,27,182,F,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.26,0,aquatic,1,22.4,water
Bottlenose dolphin,Ariel,F,182,9,5,2,Kolmarden,27,182,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.26,0.255,aquatic,1.798870915,22.4,water
Bottlenose dolphin,Ariel,F,184.5,7,5,1,Kolmarden,27,184.5,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.266,0.146,aquatic,1.399587323,22.4,water
Bottlenose dolphin,Ariel,F,185,7,5,1,Kolmarden,27,185,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.267,0.146,aquatic,1.399587323,22,water
Bottlenose dolphin,Ariel,F,185,8,5,1,Kolmarden,27,185,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.267,0.204,aquatic,1.599558029,22,water
Bottlenose dolphin,Ariel,F,185,9,5,1,Kolmarden,27,185,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.267,0.255,aquatic,1.798870915,22,water
Bottlenose dolphin,Aries,M,168,6,5,2,DolphinCo-MSQ,21,168,M,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.225,0.079,aquatic,1.199499303,31,water
Bottlenose dolphin,Aries,M,168,6,5,2,DolphinCo-MSQ,21,168,M,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.225,0.079,aquatic,1.199499303,31,water
Bottlenose dolphin,Aries,M,168,8,5,2,DolphinCo-MSQ,21,168,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.225,0.204,aquatic,1.599558029,31,water
Bottlenose dolphin,Arnie,M,254,9,5,1,ZooMarine,23,254,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.405,0.255,aquatic,1.798870915,17.2,water
Bottlenose dolphin,Arnie,M,254,12,5,1,ZooMarine,23,254,M,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.405,0.38,aquatic,2.398832919,16.8,water
Bottlenose dolphin,Arnie,M,254,14,5,1,ZooMarine,23,254,M,2.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.405,0.447,aquatic,2.79898132,18.5,water
False killer whale,Arsa,F,345,19,14,2,Okinawa-Chumari,NA,345,F,1.4,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.538,0.133,aquatic,1.358313447,21.8,water
False killer whale,Arsa,F,345,29,12,2,Okinawa-Chumari,NA,345,F,2.4,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.538,0.383,aquatic,2.415460834,22,water
Bottlenose dolphin,Arya,F,118,7,5,2,DolphinCo-PuntaCana,8,118,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.072,0.146,aquatic,1.399587323,28.57,water
Bottlenose dolphin,Arya,F,118,9,5,2,DolphinCo-PuntaCana,8,118,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.072,0.255,aquatic,1.798870915,28.63,water
Bottlenose dolphin,Arya,F,118,12,5,3,DolphinCo-PuntaCana,8,118,F,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.072,0.38,aquatic,2.398832919,28.5,water
Steller Sea Lion,Astro,M,414,9,5,1,MysticAquarium,17,414,M,1.8,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.617,0.255,semiaquatic,1.798870915,8.444444444,water
Steller Sea Lion,Astro,M,414,8,5,1,MysticAquarium,17,414,M,1.6,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,air,2.617,0.204,semiaquatic,1.599558029,7.777777778,air
Steller Sea Lion,Astro,M,414,17,5,2,MysticAquarium,17,414,M,3.4,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.617,0.531,semiaquatic,3.396252726,8.888888889,water
Steller Sea Lion,Astro,M,409,13,5,1,MysticAquarium,17,409,M,2.6,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,air,2.612,0.415,semiaquatic,2.600159563,2.222222222,air
Steller Sea Lion,Astro,M,409,11,5,1,MysticAquarium,17,409,M,2.2,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,air,2.612,0.342,semiaquatic,2.197859873,12.77777778,air
Steller Sea Lion,Astro,M,409,18,5,1,MysticAquarium,17,409,M,3.6,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.612,0.556,semiaquatic,3.597493352,10.88888889,water
Bottlenose dolphin,Athenea ,F,164,9,5,1,DolphinCo-IslaMujeres,29,164,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.215,0.255,aquatic,1.798870915,27.93,water
Bottlenose dolphin,Athenea ,F,164,6,5,1,DolphinCo-IslaMujeres,29,164,F,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.215,0.079,aquatic,1.199499303,27.15,water
Bottlenose dolphin,Athenea ,F,164,8,5,2,DolphinCo-IslaMujeres,29,164,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.215,0.204,aquatic,1.599558029,27.41,water
Bottlenose dolphin,Athos ,M,164,9,5,2,DolphinCo-IslaMujeres,13,164,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.215,0.255,aquatic,1.798870915,26.98,water
Bottlenose dolphin,Athos ,M,164,9,5,2,DolphinCo-IslaMujeres,13,164,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.215,0.255,aquatic,1.798870915,27.15,water
Bottlenose dolphin,Athos ,M,164,8,5,2,DolphinCo-IslaMujeres,13,164,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.215,0.204,aquatic,1.599558029,27.41,water
Bottlenose dolphin,Axl,M,189.1,13,5,1,MississipiAquarium,13,189.0909091,M,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.277,0.415,aquatic,2.600159563,26.11111111,water
Bottlenose dolphin,Axl,M,189.1,12,5,1,MississipiAquarium,13,189.0909091,M,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.277,0.38,aquatic,2.398832919,26.61111111,water
Bottlenose dolphin,Axl,M,190.9,8,5,1,MississipiAquarium,13,190.9090909,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.281,0.204,aquatic,1.599558029,26.5,water
